ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
135,神奈川県,多摩区,106200 ,9420 ,16590 ,17080 ,19610 ,13540 ,22890 ,6350 ,190 ,6160 ,40970 ,31180 ,1840 ,1390 ,6560 ,16360 ,3000 ,13360 ,30850 ,28890 ,19150 ,13940 ,6380 
136,神奈川県,宮前区,93500 ,2120 ,9610 ,18170 ,17980 ,15210 ,23470 ,7250 ,260 ,6980 ,39240 ,31450 ,1590 ,1060 ,5140 ,14740 ,620 ,14130 ,23980 ,20930 ,17130 ,15680 ,9280 
137,神奈川県,麻生区,74890 ,2880 ,6810 ,12390 ,14690 ,13370 ,21240 ,5560 ,90 ,5470 ,34550 ,27300 ,1650 ,770 ,4830 ,15330 ,760 ,14570 ,18020 ,18400 ,11550 ,12730 ,10660 
150,神奈川県,相模原市,300890 ,10010 ,27170 ,46660 ,48820 ,47920 ,79250 ,21720 ,440 ,21280 ,127680 ,92030 ,8950 ,4250 ,22440 ,57300 ,3180 ,54110 ,84730 ,76460 ,49640 ,34900 ,16420 
151,神奈川県,緑区,69500 ,2050 ,6520 ,11280 ,11090 ,12790 ,18940 ,6020 ,170 ,5850 ,32110 ,22790 ,2310 ,1020 ,6000 ,13420 ,690 ,12730 ,20440 ,18480 ,11830 ,8470 ,4020 
152,神奈川県,中央区,111240 ,4370 ,8970 ,18100 ,18720 ,17420 ,28440 ,7920 ,160 ,7760 ,44860 ,32540 ,2780 ,1520 ,8010 ,20820 ,1120 ,19700 ,32700 ,28600 ,17180 ,12790 ,5310 
153,神奈川県,南区,120150 ,3590 ,11680 ,17280 ,19010 ,17720 ,31880 ,7790 ,110 ,7670 ,50710 ,36700 ,3870 ,1710 ,8430 ,23060 ,1370 ,21690 ,31590 ,29380 ,20640 ,13640 ,7090 
201,神奈川県,横須賀市,167820 ,2910 ,11320 ,22780 ,24700 ,31440 ,63290 ,11980 ,800 ,11180 ,77030 ,49510 ,9680 ,2690 ,15140 ,49980 ,850 ,49120 ,55810 ,47420 ,26910 ,18800 ,8510 
203,神奈川県,平塚市,102860 ,3880 ,8120 ,16790 ,15900 ,18870 ,33980 ,8720 ,650 ,8070 ,43930 ,31700 ,2680 ,1530 ,8010 ,20060 ,640 ,19410 ,32550 ,28920 ,17840 ,12250 ,6060 
204,神奈川県,鎌倉市,71980 ,1160 ,4790 ,10150 ,11080 ,12280 ,28070 ,6580 ,170 ,6410 ,28160 ,22030 ,1420 ,570 ,4140 ,18600 ,160 ,18440 ,17110 ,18700 ,12230 ,11070 ,9120 
205,神奈川県,藤沢市,175510 ,6600 ,16300 ,30810 ,30400 ,27510 ,52910 ,13600 ,770 ,12830 ,78560 ,60000 ,4320 ,2370 ,11870 ,39070 ,2340 ,36730 ,45680 ,48680 ,31900 ,24390 ,14930 
206,神奈川県,小田原市,77950 ,1070 ,6640 ,12230 ,13380 ,14390 ,25200 ,7460 ,1170 ,6290 ,36810 ,25390 ,3050 ,1110 ,7260 ,15930 ,180 ,15760 ,24540 ,21020 ,14050 ,9050 ,5010 
207,神奈川県,茅ケ崎市,93720 ,1250 ,7630 ,15420 ,15990 ,15260 ,29540 ,8150 ,540 ,7610 ,45110 ,33970 ,2780 ,1210 ,7140 ,21880 ,350 ,21530 ,24290 ,24420 ,16310 ,13620 ,7000 
