id,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
216,北海道,芦別市,7590 ,30 ,320 ,560 ,700 ,1680 ,4300 ,860 ,290 ,570 ,2640 ,1590 ,310 ,70 ,660 ,3930 ,0 ,3930 ,4710 ,1870 ,550 ,290 ,160 
217,北海道,江別市,50230 ,3390 ,2120 ,5150 ,7360 ,10270 ,16430 ,3020 ,440 ,2580 ,20910 ,13880 ,2290 ,560 ,4180 ,17860 ,2930 ,14940 ,19760 ,13090 ,7250 ,3460 ,1230 
218,北海道,赤平市,5030 ,0 ,230 ,440 ,590 ,1060 ,2710 ,430 ,110 ,320 ,1870 ,1020 ,250 ,70 ,530 ,2540 ,0 ,2540 ,3100 ,1140 ,430 ,250 ,60 
219,北海道,紋別市,11260 ,170 ,650 ,1250 ,1890 ,2200 ,4220 ,1460 ,420 ,1040 ,5790 ,3390 ,830 ,230 ,1350 ,3170 ,20 ,3150 ,5220 ,2870 ,1230 ,750 ,310 
220,北海道,士別市,9050 ,100 ,710 ,1000 ,1340 ,1820 ,3910 ,1300 ,670 ,630 ,4230 ,2570 ,550 ,160 ,960 ,3140 ,0 ,3140 ,4520 ,2310 ,1130 ,660 ,250 
221,北海道,名寄市,12540 ,850 ,1130 ,1870 ,1610 ,2360 ,4610 ,1570 ,650 ,910 ,6110 ,3490 ,1430 ,110 ,1080 ,3970 ,350 ,3620 ,6060 ,3310 ,1630 ,1010 ,350 
222,北海道,三笠市,4570 ,40 ,160 ,340 ,490 ,830 ,2590 ,350 ,140 ,210 ,1500 ,750 ,220 ,100 ,430 ,2570 ,0 ,2570 ,2840 ,1050 ,400 ,140 ,30 
223,北海道,根室市,11550 ,200 ,710 ,1410 ,1960 ,2510 ,4570 ,2310 ,1300 ,1000 ,5440 ,3040 ,1050 ,120 ,1230 ,3520 ,0 ,3520 ,5070 ,3040 ,1660 ,1070 ,510 
224,北海道,千歳市,38680 ,1380 ,4970 ,7670 ,7180 ,7230 ,9530 ,2010 ,300 ,1720 ,22550 ,12670 ,5390 ,580 ,3920 ,9000 ,220 ,8780 ,14870 ,12170 ,6780 ,3060 ,850 
225,北海道,滝川市,18190 ,600 ,1410 ,2530 ,3160 ,3630 ,6720 ,1910 ,590 ,1330 ,9540 ,6130 ,1200 ,220 ,1990 ,6150 ,270 ,5890 ,9370 ,5070 ,2140 ,1010 ,450 
226,北海道,砂川市,7990 ,230 ,520 ,770 ,1200 ,1500 ,3300 ,640 ,260 ,380 ,3720 ,2380 ,540 ,130 ,670 ,2820 ,0 ,2820 ,3730 ,2160 ,950 ,490 ,200 
227,北海道,歌志内市,1960 ,0 ,80 ,180 ,220 ,340 ,1130 ,110 ,10 ,110 ,800 ,450 ,120 ,20 ,210 ,1030 ,0 ,1030 ,1280 ,450 ,160 ,60 ,10 
228,北海道,深川市,9890 ,290 ,580 ,1010 ,1520 ,1810 ,4670 ,1540 ,920 ,620 ,4270 ,2750 ,560 ,10 ,960 ,4030 ,160 ,3870 ,5160 ,2630 ,1150 ,600 ,340 
229,北海道,富良野市,9560 ,300 ,680 ,1410 ,1490 ,1870 ,3450 ,1600 ,810 ,790 ,4540 ,2680 ,630 ,140 ,1100 ,2690 ,10 ,2680 ,4720 ,2290 ,1350 ,580 ,290 
230,北海道,登別市,22090 ,750 ,1610 ,2870 ,2880 ,4740 ,8970 ,1330 ,100 ,1240 ,10700 ,7580 ,870 ,260 ,1980 ,7930 ,30 ,7900 ,11120 ,6210 ,2460 ,1360 ,410 
231,北海道,恵庭市,27030 ,1190 ,2210 ,4600 ,4510 ,5350 ,8460 ,1510 ,320 ,1190 ,14310 ,8240 ,2770 ,370 ,2930 ,7940 ,590 ,7350 ,11160 ,7980 ,4560 ,2030 ,610 
233,北海道,伊達市,15470 ,440 ,970 ,2140 ,2400 ,3080 ,6430 ,1630 ,550 ,1080 ,7920 ,5300 ,690 ,100 ,1840 ,5910 ,50 ,5870 ,7850 ,4330 ,1820 ,1080 ,370 
234,北海道,北広島市,22170 ,190 ,920 ,3100 ,3470 ,5270 ,8170 ,1590 ,170 ,1430 ,11270 ,7650 ,1310 ,310 ,2010 ,7470 ,60 ,7410 ,7990 ,6890 ,3290 ,2180 ,780 
